brand,fuel_type,engine_size,horsepower,price,city_mpg,highway_mpg,num_doors,body_style,drive_wheels,curb_weight
BMW,gas,3.2,95,43212,15,20,2,hatchback,fwd,3099
Dodge,gas,3.5,99,46177,34,41,2,hardtop,rwd,2314
Nissan,gas,2.4,168,20006,19,23,4,hatchback,fwd,2172
Porsche,diesel,3.0,142,21174,21,25,4,sedan,4wd,2563
Nissan,gas,1.5,118,9420,34,38,2,hatchback,4wd,1873
BMW,diesel,2.3,88,47728,23,28,2,sedan,4wd,3457
Toyota,diesel,2.1,154,39996,17,22,4,hatchback,4wd,2529
Renault,gas,2.9,217,47294,34,43,4,hatchback,rwd,2880
Volkswagen,gas,3.1,205,30220,20,26,4,hardtop,rwd,1896
Hyundai,diesel,2.8,143,35234,19,29,4,wagon,4wd,2679
Toyota,diesel,2.5,248,9158,27,37,2,wagon,fwd,3369
Hyundai,diesel,3.3,146,6015,16,25,2,hatchback,rwd,3102
Volvo,diesel,3.0,111,41747,28,32,2,sedan,fwd,2195
Subaru,diesel,2.2,230,19110,33,40,4,wagon,fwd,2167
Plymouth,gas,2.7,188,28839,32,35,4,wagon,4wd,2284
BMW,gas,1.7,132,16161,31,41,4,hatchback,rwd,3260
Porsche,gas,3.3,168,44638,27,36,4,sedan,4wd,2905
Mazda,gas,2.5,190,13353,20,27,4,hardtop,rwd,2935
Nissan,diesel,1.5,96,23643,19,22,2,hardtop,4wd,3411
Toyota,gas,2.9,84,45741,15,24,2,hatchback,fwd,3902
Porsche,diesel,1.5,97,9747,34,42,4,sedan,fwd,1950
Dodge,diesel,2.1,215,8462,18,23,4,hardtop,rwd,2440
Toyota,diesel,2.0,205,7270,27,35,4,wagon,fwd,3254
Volkswagen,gas,2.5,183,41104,22,31,4,sedan,fwd,2746
Volkswagen,diesel,2.6,147,36471,19,28,4,sedan,4wd,3175
Hyundai,diesel,3.5,242,29703,32,38,4,wagon,rwd,1592
Toyota,gas,2.7,105,12990,34,41,4,hatchback,rwd,3036
Nissan,diesel,2.8,180,34097,28,35,2,wagon,4wd,3605
Mercedes-Benz,diesel,2.7,89,37315,30,38,4,sedan,fwd,2552
BMW,gas,2.8,103,15637,16,19,2,wagon,4wd,3350
Porsche,diesel,1.7,178,6285,28,38,4,wagon,4wd,2724
Mitsubishi,diesel,3.5,163,38355,19,29,2,hardtop,rwd,3440
Peugeot,diesel,2.8,150,21362,32,40,2,hardtop,rwd,2064
Peugeot,gas,2.6,205,36648,32,38,4,hardtop,rwd,3811
Subaru,diesel,2.6,242,28644,15,18,2,hardtop,fwd,1670
Dodge,diesel,2.3,99,35581,21,25,4,hatchback,4wd,1866
Hyundai,diesel,1.7,196,39271,26,32,2,sedan,fwd,1853
Ford,diesel,3.4,225,14008,27,30,2,sedan,rwd,1897
Nissan,diesel,3.2,97,34317,26,32,4,sedan,4wd,1771
Honda,diesel,2.9,175,46296,23,27,2,wagon,rwd,2327
Peugeot,diesel,2.4,143,31774,34,42,4,hatchback,4wd,1576
Saab,diesel,1.7,104,16802,29,33,4,hardtop,4wd,3790
Hyundai,gas,2.3,90,5784,20,26,4,hatchback,4wd,2296
Volvo,diesel,3.4,170,33923,31,41,4,sedan,4wd,3542
Mazda,gas,2.9,180,17176,17,27,4,hatchback,fwd,2258
Mazda,gas,2.5,73,36257,24,32,4,sedan,fwd,3197
Ford,gas,2.1,82,5190,34,41,4,hardtop,rwd,1654
Peugeot,gas,2.3,241,10741,33,41,4,sedan,rwd,3726
Dodge,diesel,2.7,195,33330,28,32,2,hatchback,4wd,3698
Volvo,gas,1.9,98,12905,17,22,2,wagon,4wd,3639
Nissan,gas,3.3,149,49103,33,43,2,sedan,rwd,1942
Mitsubishi,gas,1.7,203,46702,24,29,2,hatchback,rwd,2976
Dodge,diesel,2.5,167,22052,34,40,2,hardtop,4wd,2952
Saab,diesel,1.7,190,14641,27,32,2,wagon,fwd,1584
Renault,gas,2.8,156,41057,28,36,2,hardtop,rwd,2520
Subaru,diesel,1.5,211,25307,27,33,4,hatchback,4wd,2141
Saab,gas,1.8,158,34526,32,35,2,sedan,fwd,3559
Plymouth,diesel,2.2,102,33277,25,29,2,sedan,4wd,3169
BMW,gas,1.9,81,24901,35,39,2,hatchback,fwd,3174
Ford,gas,2.2,91,7396,20,26,4,wagon,4wd,2124
Volkswagen,gas,2.7,177,13700,15,23,2,wagon,rwd,1788
Audi,diesel,1.7,152,16935,22,26,4,wagon,4wd,1806
Subaru,gas,2.8,248,36152,19,29,4,hatchback,fwd,3879
Hyundai,gas,2.8,202,46433,18,26,2,hardtop,fwd,3298
Mitsubishi,diesel,2.9,210,19479,34,39,2,hatchback,fwd,1877
Subaru,gas,2.2,152,36991,25,35,2,hardtop,rwd,3140
Hyundai,gas,3.0,88,15413,32,35,4,hardtop,rwd,2636
Mercedes-Benz,gas,1.7,142,36792,25,32,2,hardtop,fwd,2637
BMW,diesel,3.3,228,19616,24,27,2,hatchback,4wd,2412
Nissan,diesel,1.8,185,35173,21,28,4,hatchback,rwd,1735
Subaru,diesel,1.6,191,32087,31,37,4,hatchback,fwd,3114
Honda,gas,3.3,127,12739,29,39,2,hatchback,fwd,2604
Renault,gas,3.0,243,19697,19,22,4,hatchback,rwd,2300
Renault,gas,2.6,212,5559,31,41,4,hatchback,rwd,2724
Ford,diesel,2.8,227,29046,29,38,2,wagon,4wd,3982
Dodge,diesel,2.7,74,10219,16,20,4,hardtop,4wd,3965
Hyundai,diesel,3.4,238,22424,29,36,4,hatchback,4wd,3081
Renault,gas,1.8,191,14108,33,43,2,hatchback,fwd,2189
Porsche,gas,2.0,153,22925,27,32,2,wagon,4wd,3951
Mazda,gas,1.8,126,18708,32,39,4,hatchback,fwd,3880
Porsche,gas,1.5,225,16565,16,25,4,hardtop,4wd,3085
Mazda,gas,2.8,142,27315,28,31,2,wagon,fwd,3342
Chevrolet,diesel,3.1,183,5187,33,41,2,wagon,rwd,1804
Volkswagen,diesel,2.2,130,38130,17,24,2,hardtop,fwd,2416
Saab,gas,2.6,185,22472,16,22,4,hatchback,4wd,3638
Mitsubishi,diesel,3.0,89,33688,22,27,2,wagon,rwd,2655
Mitsubishi,gas,2.8,162,28945,26,35,2,wagon,rwd,3138
Ford,gas,3.4,242,10836,26,33,2,sedan,fwd,2170
Audi,diesel,2.7,239,38673,33,39,2,sedan,fwd,3539
Saab,gas,2.2,93,44132,24,34,2,wagon,fwd,3359
Mazda,gas,3.1,95,7125,25,28,4,hardtop,fwd,3396
Porsche,gas,2.0,207,30211,23,26,2,hardtop,fwd,3425
Volkswagen,gas,3.4,230,16309,31,35,2,hardtop,fwd,2369
Chevrolet,gas,1.6,249,6534,34,40,4,hatchback,fwd,3230
Mitsubishi,gas,1.7,236,42924,23,30,4,hardtop,rwd,3956
BMW,gas,1.9,137,30536,19,27,2,hatchback,fwd,2229
Chevrolet,diesel,2.5,137,21856,22,30,2,wagon,rwd,2841
Plymouth,gas,3.2,74,24007,25,35,2,hatchback,4wd,3589
Audi,gas,2.3,119,32250,28,37,4,sedan,4wd,3613
Toyota,diesel,2.2,243,20882,21,26,4,hardtop,4wd,3294
Dodge,diesel,1.8,183,34195,34,41,2,hatchback,rwd,1826
Chevrolet,gas,1.9,78,45084,30,35,2,sedan,4wd,1999
BMW,diesel,3.0,238,16583,26,32,4,hardtop,4wd,3021
Plymouth,gas,1.7,91,25912,18,23,4,hatchback,rwd,3911
Volkswagen,gas,2.0,129,35965,35,42,4,sedan,fwd,1780
Saab,diesel,1.6,125,19788,35,39,2,sedan,rwd,1656
Mitsubishi,gas,2.5,71,10915,20,23,4,sedan,fwd,2959
Hyundai,diesel,2.5,143,22181,19,25,4,hatchback,rwd,2270
Mercedes-Benz,diesel,2.3,101,48127,15,21,2,hardtop,fwd,2297
Chevrolet,gas,3.3,75,41457,31,37,4,wagon,fwd,3295
Nissan,gas,2.2,173,23808,35,45,2,hardtop,4wd,3636
Porsche,diesel,2.4,225,8305,19,29,2,wagon,4wd,2717
Volkswagen,gas,2.0,225,29989,22,26,4,hardtop,rwd,2759
Hyundai,diesel,1.9,147,21369,21,28,2,wagon,fwd,2941
Mazda,gas,3.4,80,46577,26,36,4,hatchback,rwd,2892
BMW,gas,2.4,86,6365,25,30,2,hatchback,fwd,2568
Nissan,gas,2.3,185,40517,31,41,2,hardtop,rwd,1992
Chevrolet,diesel,3.1,153,48833,32,37,4,sedan,rwd,1971
Peugeot,diesel,2.7,104,7429,24,28,4,hatchback,fwd,3100
Volvo,gas,2.2,142,21790,20,25,2,hatchback,fwd,2370
Mercedes-Benz,gas,1.5,78,37290,16,20,4,sedan,4wd,3213
Ford,diesel,2.3,206,16533,23,32,4,hatchback,4wd,1809
Subaru,gas,3.0,83,23997,18,24,2,hardtop,rwd,2436
Toyota,gas,3.2,161,33851,27,30,4,hardtop,4wd,1631
Renault,gas,2.7,125,43149,29,34,4,hardtop,rwd,2834
Mercedes-Benz,diesel,2.9,173,15231,29,35,4,sedan,fwd,1723
Hyundai,gas,1.4,110,36196,18,26,2,hardtop,fwd,3028
Porsche,diesel,2.5,201,13227,20,25,2,wagon,4wd,3238
BMW,gas,2.5,99,30874,32,37,4,sedan,4wd,3651
Mitsubishi,diesel,3.2,149,9539,31,34,2,hardtop,4wd,2673
BMW,gas,2.2,237,18440,26,35,4,wagon,fwd,1662
Peugeot,diesel,1.9,145,15897,35,40,2,wagon,rwd,3327
Ford,diesel,2.5,96,36075,16,20,2,wagon,rwd,3921
Peugeot,diesel,2.4,136,15201,28,33,2,wagon,4wd,1664
BMW,gas,2.2,223,44767,16,23,4,hatchback,fwd,3822
Honda,diesel,1.7,164,27142,22,25,2,hatchback,4wd,3016
Subaru,gas,1.9,173,32430,33,38,2,hatchback,rwd,3825
Honda,diesel,2.6,187,26133,26,29,4,sedan,4wd,3894
Nissan,gas,2.7,217,10458,16,23,4,hatchback,rwd,3433
Plymouth,gas,2.3,116,30165,20,29,2,wagon,rwd,3561
Volvo,diesel,2.8,243,42810,29,32,4,hardtop,rwd,1797
Plymouth,diesel,2.2,113,9103,17,26,4,hardtop,rwd,3450
Volvo,diesel,2.0,107,29520,31,41,2,sedan,rwd,2915
Honda,gas,2.9,189,36222,18,24,2,hatchback,4wd,1665
Plymouth,diesel,1.4,152,25772,20,24,2,sedan,4wd,2144
Mitsubishi,diesel,1.9,173,14272,29,33,2,wagon,fwd,3321
Nissan,gas,3.5,232,6443,18,25,2,hardtop,rwd,3216
Mitsubishi,gas,1.7,112,16527,21,31,2,wagon,fwd,2588
Hyundai,gas,3.1,137,19929,22,32,2,hardtop,rwd,3864
Ford,diesel,1.8,244,16992,29,33,4,wagon,4wd,3477
Toyota,diesel,3.3,161,15673,23,28,2,hardtop,fwd,2181
Volkswagen,gas,2.0,78,35053,15,18,4,hatchback,rwd,2366
Porsche,gas,3.3,231,13166,24,27,4,hardtop,4wd,2210
Volkswagen,gas,2.3,216,30828,28,31,4,wagon,rwd,3814
Volvo,gas,3.4,135,18493,34,43,2,hardtop,rwd,2860
Nissan,gas,1.7,137,44543,25,29,2,hatchback,fwd,2598
Audi,gas,2.5,70,9554,22,30,4,hatchback,4wd,1674
Mitsubishi,diesel,3.3,79,24410,16,19,2,wagon,rwd,3738
BMW,gas,2.6,100,10845,17,22,2,sedan,fwd,3939
Renault,gas,3.3,173,29871,29,38,4,wagon,4wd,1542
Mitsubishi,gas,2.1,148,7988,29,33,2,hatchback,rwd,3740
Volvo,diesel,2.2,201,15855,21,31,4,sedan,4wd,3121
Volvo,gas,2.2,250,45515,24,29,2,wagon,fwd,3962
Renault,diesel,1.5,141,46418,31,38,4,sedan,4wd,3382
Plymouth,diesel,1.6,218,43921,24,34,2,wagon,fwd,1560
Peugeot,gas,3.1,158,14242,23,29,2,sedan,rwd,2701
Audi,gas,1.6,110,35330,31,38,2,sedan,fwd,2351
Dodge,gas,2.9,194,14070,17,22,2,sedan,fwd,2249
Audi,diesel,3.3,174,31182,28,36,2,hatchback,rwd,2600
Plymouth,gas,2.7,95,28728,33,39,2,hatchback,rwd,2065
Porsche,gas,1.6,112,28731,25,28,4,sedan,rwd,1664
Subaru,diesel,2.2,170,45477,20,28,4,hardtop,fwd,3461
Porsche,gas,1.5,183,14591,26,33,2,sedan,fwd,2611
BMW,gas,3.4,139,17721,19,27,4,sedan,rwd,3463
Dodge,diesel,2.0,109,49332,33,42,2,sedan,fwd,2571
Dodge,gas,1.9,210,38415,15,19,4,hardtop,fwd,2277
Nissan,gas,2.2,81,46099,34,37,4,hatchback,4wd,3119
Mitsubishi,diesel,2.5,243,17086,15,25,2,hatchback,4wd,2896
Plymouth,gas,2.9,124,43089,32,35,4,sedan,rwd,2422
Volvo,diesel,2.7,87,15789,17,24,2,wagon,rwd,2406
Subaru,diesel,2.9,91,40268,16,22,2,hardtop,4wd,3501
Volkswagen,gas,3.2,242,29325,33,37,4,sedan,4wd,3907
Audi,diesel,2.4,97,26465,31,40,4,wagon,rwd,2227
Volkswagen,gas,3.1,160,38784,15,19,4,wagon,4wd,1954
Chevrolet,gas,2.3,103,34415,35,41,4,hardtop,rwd,3776
Chevrolet,diesel,2.5,96,14049,30,37,2,wagon,4wd,2035
Mitsubishi,gas,2.8,237,12066,20,24,2,sedan,rwd,2893
Toyota,diesel,1.4,78,42446,24,30,4,wagon,4wd,3782
Peugeot,gas,3.0,103,28295,34,40,4,wagon,4wd,2987
Mercedes-Benz,gas,2.6,128,33446,20,24,4,hardtop,fwd,3940
Nissan,gas,2.8,72,37001,15,20,2,wagon,4wd,3909
Volvo,gas,2.1,147,37418,31,37,2,hardtop,rwd,3743
Volvo,diesel,1.8,218,41407,27,37,4,hatchback,4wd,2144
Mazda,gas,1.6,188,47468,20,30,2,hatchback,rwd,3545
Audi,gas,2.9,128,43173,20,23,2,sedan,fwd,3688
Chevrolet,gas,1.6,235,34315,27,33,4,wagon,fwd,3765
Toyota,diesel,1.6,192,24020,34,43,2,hatchback,4wd,3043
Volvo,diesel,2.7,131,9845,20,29,4,wagon,fwd,3657
Chevrolet,diesel,2.9,197,20856,32,36,2,sedan,fwd,3477
Hyundai,diesel,1.4,134,29255,29,34,2,hardtop,fwd,2616
Renault,gas,1.5,246,45019,21,31,4,sedan,fwd,3592
Nissan,gas,3.3,202,43871,20,24,4,hardtop,fwd,2622
Hyundai,gas,2.2,248,36782,29,33,2,wagon,4wd,3386
Hyundai,gas,1.6,203,26440,33,42,4,wagon,fwd,2983
Porsche,gas,1.8,157,5271,35,41,2,wagon,rwd,2104
Chevrolet,gas,1.9,167,26501,17,24,4,sedan,fwd,2926
BMW,gas,2.4,231,33413,29,32,4,hatchback,4wd,3525
Plymouth,gas,1.9,134,43418,24,30,2,hardtop,4wd,3507
Mitsubishi,gas,2.2,109,34809,25,32,2,hatchback,fwd,2140
Dodge,gas,2.8,118,39011,18,27,4,wagon,4wd,3727
Chevrolet,gas,2.4,86,44285,29,33,4,hardtop,4wd,3820
Volkswagen,diesel,2.4,169,39461,32,35,2,sedan,4wd,3588
Volkswagen,diesel,3.0,146,47137,33,36,2,hatchback,4wd,1808
Dodge,gas,3.3,219,23267,16,26,2,hardtop,4wd,3496
Dodge,gas,2.1,225,10529,28,32,2,hatchback,rwd,2957
Volvo,diesel,1.7,172,5995,23,31,2,wagon,fwd,1876
Mitsubishi,gas,3.3,70,49966,32,37,2,hatchback,rwd,2447
Ford,gas,2.9,232,26085,22,31,2,sedan,rwd,3581
Mitsubishi,diesel,3.2,212,9939,24,27,2,wagon,fwd,3478
Saab,gas,2.2,118,5691,15,18,4,hatchback,rwd,3516
Renault,diesel,3.2,88,25186,16,25,2,hatchback,rwd,2289
Mazda,gas,1.5,149,42287,29,32,4,hatchback,4wd,3611
Renault,diesel,3.5,215,16347,24,33,4,wagon,rwd,2626
Peugeot,diesel,3.1,85,38822,26,31,2,sedan,fwd,2633
Nissan,gas,3.0,189,25384,24,32,2,hardtop,4wd,2733
Honda,gas,2.0,245,44998,26,29,4,hatchback,4wd,3018
Ford,diesel,1.9,186,36719,24,28,2,hardtop,4wd,3256
Saab,diesel,3.4,112,6982,26,36,4,hatchback,4wd,3151
Volvo,gas,1.5,226,33643,31,35,2,hardtop,rwd,3422
Toyota,gas,2.4,90,12841,27,33,2,hatchback,fwd,2495
Mitsubishi,diesel,2.3,214,15769,17,26,2,hardtop,4wd,2792
Nissan,diesel,3.4,169,49855,20,29,2,sedan,4wd,2910
Saab,gas,2.7,111,28646,25,34,2,hardtop,rwd,2595
Subaru,gas,3.2,180,7640,24,30,4,wagon,rwd,2070
Ford,diesel,1.8,209,17863,23,26,2,hatchback,rwd,2681
Volvo,diesel,1.6,121,34535,23,31,2,wagon,fwd,2429
Volkswagen,diesel,3.4,221,45527,33,40,4,sedan,rwd,2352
BMW,diesel,3.2,247,48166,15,24,2,hardtop,4wd,2955
Honda,diesel,3.3,87,20605,15,19,2,hatchback,fwd,3735
Mazda,gas,2.2,121,27638,22,31,4,sedan,rwd,3075
Volvo,diesel,3.1,222,29034,25,31,2,sedan,rwd,2766
Porsche,diesel,3.1,167,14191,35,44,4,hardtop,rwd,3246
Mitsubishi,diesel,2.5,106,24669,32,39,4,hatchback,fwd,2203
Honda,gas,2.7,73,17488,29,32,2,sedan,4wd,3949
Porsche,gas,1.4,213,46032,29,32,2,hatchback,4wd,1540
Mercedes-Benz,gas,1.6,227,30241,17,24,2,sedan,4wd,3083
